	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18
C01	0	23.71	177.26	212.36	352.08	252.51	609.23	643.88	523.65	403.55	426.52	430.95	405.38	262.87	287.72	290.35	156.71	275.07
C02	23.71	0	188.63	224.2	364.84	267.26	598.91	634.33	513.47	389.5	412	416.38	390.99	245.55	270.29	272.98	137.68	254.79
C03	177.26	188.63	0	36.39	173.62	79.98	532.9	560.99	453.1	369.09	395.16	400.98	378.44	292.07	303.33	308.67	227.55	433.85
C04	212.36	224.2	36.39	0	138.87	46.11	528.82	554.75	451.63	378.27	404.24	409.81	388.84	316.44	323.9	329.17	258.51	470.44
C05	352.08	364.84	173.62	138.87	0	99.94	525.29	542.18	460.58	427.22	451.95	457.64	442.11	411.78	412.48	418.72	380.69	603.23
C06	252.51	267.26	79.98	46.11	99.94	0	544.04	567.29	470.44	408.42	434.19	440.16	420.59	356.98	363.92	370.09	303.73	515.95
C07	609.23	598.91	532.9	528.82	525.29	544.04	0	41.34	85.22	221.32	208.16	206.49	229.19	384.54	356.18	357.24	478.57	671.96
C08	643.88	634.33	560.99	554.75	542.18	567.29	41.34	0	122.59	261.53	249.02	247.56	270.17	424.21	395.9	397.28	516.34	712.83
C09	523.65	513.47	453.1	451.63	460.58	470.44	85.22	122.59	0	140.58	131.6	131.41	151.28	301.97	274.14	275.86	394.08	599.45
C10	403.55	389.5	369.09	378.27	427.22	408.42	221.32	261.53	140.58	0	25.97	31.95	18.76	163.08	134.67	135.79	261.17	451.78
C11	426.52	412	395.16	404.24	451.95	434.19	208.16	249.02	131.6	25.97	0	5.93	21.8	179.88	151.32	151.55	281.52	463.28
C12	430.95	416.38	400.98	409.81	457.64	440.16	206.49	247.56	131.41	31.95	5.93	0	25.76	182.95	154.34	154.34	285.4	465.12
C13	405.38	390.99	378.44	388.84	442.11	420.59	229.19	270.17	151.28	18.76	21.8	25.76	0	158.16	129.57	129.79	259.35	443.03
C14	262.87	245.55	292.07	316.44	411.78	356.98	384.54	424.21	301.97	163.08	179.88	182.95	158.16	0	29.63	29.77	107.97	295.89
C15	287.72	270.29	303.33	323.9	412.48	363.92	356.18	395.9	274.14	134.67	151.32	154.34	129.57	29.63	0	6.16	135.05	322.03
C16	290.35	272.98	308.67	329.17	418.72	370.09	357.24	397.28	275.86	135.79	151.55	154.34	129.79	29.77	6.16	0	136.96	319.4
C17	156.71	137.68	227.55	258.51	380.69	303.73	478.57	516.34	394.08	261.17	281.52	285.4	259.35	107.97	135.05	136.96	0	243.32
C18	275.07	254.79	433.85	470.44	603.23	515.95	671.96	712.83	599.45	451.78	463.28	465.12	443.03	295.89	322.03	319.4	243.32	0
