	PD_whole_tree	observed_otus
C12D01	278.83425	2410.0
C16D02	359.33457	3504.0
C13D09	310.79857	2236.0
C09D05	298.61651	2131.0
C18D04	380.19454	4108.0
C02D02	389.21412	3833.0
C12D02	219.58835	1856.0
C05D01	413.11727	4433.0
C06D03	325.67589	3753.0
C04D02	375.3614	4330.0
Mock	267.75432	1814.0
C18D06	389.96886	4205.0
C14D01	304.10203	2641.0
C15D02	288.26779	2600.0
C13D07	376.95162	3379.0
C02D01	385.11835	3833.0
C10D03	286.60588	2188.0
C10D01	236.39094	1879.0
C03D02	397.91032	4482.0
C14D03	325.1186	2941.0
C14D02	292.63768	2484.0
C08D03	530.64916	6166.0
C09D06	289.74061	2119.0
C09D04	349.76316	2735.0
C15D01	340.6427	2968.0
C16D03	343.56007	3492.0
C05D02	413.34374	4470.0
C16D01	367.65425	3643.0
C02D03	403.09496	3749.0
C07D02	379.80793	4328.0
C07D03	370.32933	4199.0
C06D01	348.19161	3815.0
C04D03	381.24772	4509.0
C08D02	520.08841	5798.0
C11D01	336.99662	3883.0
C10D02	278.97738	2317.0
C12D03	251.3516	2054.0
C11D03	357.98636	3970.0
C04D01	368.24401	4422.0
C18D05	407.77049	4319.0
C11D02	336.52228	3807.0
C07D01	364.34921	4232.0
C01D03	406.98897	4134.0
C17D02	519.28028	5758.0
C13D08	260.78816	1798.0
C17D01	515.72489	5884.0
C15D03	362.2953	3467.0
C01D01	375.79535	4024.0
C01D02	399.08619	4063.0
C05D03	388.69173	4265.0
C06D02	324.81454	3588.0
C17D03	483.39622	5530.0
C08D01	527.04819	6071.0
C03D01	420.29813	4544.0
C03D03	391.15682	4470.0
