	C03	C07	C17	C11	C05	C08	C09	C18	C15	C01	C13	C12	C02	C10	C04	C16	C06	C14
C03	0.0	0.323336683235	0.39039919362	0.362100875183	0.306698293686	0.393843745189	0.38231131581	0.323450321056	0.359549154143	0.333279403046	0.442589580542	0.417755291601	0.326027232116	0.400294622699	0.313506474018	0.339483545214	0.33830633982	0.38277973712
C07	0.323336683235	0.0	0.40027214178	0.346900828193	0.336446724237	0.395277814896	0.407355756391	0.344366545328	0.380717072964	0.362703129099	0.473721206306	0.438768373503	0.359187105976	0.427293078722	0.306132652597	0.359483626538	0.339519939624	0.404937949237
C17	0.39039919362	0.40027214178	0.0	0.435826525747	0.388520059246	0.226387318512	0.449917469235	0.38125375597	0.420350227109	0.372309536353	0.448491638159	0.508993713018	0.394812808148	0.486607022296	0.398309825795	0.395111050526	0.423821988794	0.44505245115
C11	0.362100875183	0.346900828193	0.435826525747	0.0	0.34576035231	0.43750543417	0.413945122765	0.354880012901	0.358853247333	0.369468146457	0.469371235259	0.410846095897	0.356421664097	0.397320697623	0.35431624889	0.341810686066	0.324924642376	0.362790563209
C05	0.306698293686	0.336446724237	0.388520059246	0.34576035231	0.0	0.391587703918	0.368893942283	0.304930803932	0.366040496111	0.331006069077	0.444801224	0.412222833763	0.311871531303	0.391310242268	0.34095337964	0.3448350494	0.356774090864	0.359042044052
C08	0.393843745189	0.395277814896	0.226387318512	0.43750543417	0.391587703918	0.0	0.446471604734	0.395877393949	0.420301440192	0.382436959478	0.438816462612	0.504391758574	0.391033379356	0.486161252493	0.410305214986	0.390106864641	0.428803637685	0.439912296906
C09	0.38231131581	0.407355756391	0.449917469235	0.413945122765	0.368893942283	0.446471604734	0.0	0.369273155599	0.364311486936	0.365046656348	0.429253978149	0.397190929286	0.352509031775	0.356015570818	0.421592821921	0.382498405996	0.406248157428	0.36672709123
C18	0.323450321056	0.344366545328	0.38125375597	0.354880012901	0.304930803932	0.395877393949	0.369273155599	0.0	0.343261190459	0.295999834654	0.44324149529	0.410596850922	0.302843452539	0.386413796135	0.334094038026	0.343475714154	0.358117854118	0.367321426201
C15	0.359549154143	0.380717072964	0.420350227109	0.358853247333	0.366040496111	0.420301440192	0.364311486936	0.343261190459	0.0	0.352816384213	0.432052231459	0.365764260745	0.357440643166	0.357736464867	0.402261894568	0.326812201039	0.36402084139	0.322128633526
C01	0.333279403046	0.362703129099	0.372309536353	0.369468146457	0.331006069077	0.382436959478	0.365046656348	0.295999834654	0.352816384213	0.0	0.428482460399	0.421519101162	0.302565746783	0.389153626522	0.356442656575	0.339313388296	0.365602020273	0.359034558158
C13	0.442589580542	0.473721206306	0.448491638159	0.469371235259	0.444801224	0.438816462612	0.429253978149	0.44324149529	0.432052231459	0.428482460399	0.0	0.458182244905	0.427179645557	0.443724787647	0.478744057186	0.42468909387	0.473794935805	0.430734127514
C12	0.417755291601	0.438768373503	0.508993713018	0.410846095897	0.412222833763	0.504391758574	0.397190929286	0.410596850922	0.365764260745	0.421519101162	0.458182244905	0.0	0.407105479293	0.367639317177	0.451035047149	0.391410203068	0.401850299551	0.362018809991
C02	0.326027232116	0.359187105976	0.394812808148	0.356421664097	0.311871531303	0.391033379356	0.352509031775	0.302843452539	0.357440643166	0.302565746783	0.427179645557	0.407105479293	0.0	0.375637670386	0.368391343429	0.334336918961	0.358823345929	0.366043873603
C10	0.400294622699	0.427293078722	0.486607022296	0.397320697623	0.391310242268	0.486161252493	0.356015570818	0.386413796135	0.357736464867	0.389153626522	0.443724787647	0.367639317177	0.375637670386	0.0	0.44383833354	0.378050440351	0.401398586016	0.36097608764
C04	0.313506474018	0.306132652597	0.398309825795	0.35431624889	0.34095337964	0.410305214986	0.421592821921	0.334094038026	0.402261894568	0.356442656575	0.478744057186	0.451035047149	0.368391343429	0.44383833354	0.0	0.379397418613	0.345594729903	0.417547337594
C16	0.339483545214	0.359483626538	0.395111050526	0.341810686066	0.3448350494	0.390106864641	0.382498405996	0.343475714154	0.326812201039	0.339313388296	0.42468909387	0.391410203068	0.334336918961	0.378050440351	0.379397418613	0.0	0.363163896181	0.325182683444
C06	0.33830633982	0.339519939624	0.423821988794	0.324924642376	0.356774090864	0.428803637685	0.406248157428	0.358117854118	0.36402084139	0.365602020273	0.473794935805	0.401850299551	0.358823345929	0.401398586016	0.345594729903	0.363163896181	0.0	0.381646149646
C14	0.38277973712	0.404937949237	0.44505245115	0.362790563209	0.359042044052	0.439912296906	0.36672709123	0.367321426201	0.322128633526	0.359034558158	0.430734127514	0.362018809991	0.366043873603	0.36097608764	0.417547337594	0.325182683444	0.381646149646	0.0
