	PD_whole_tree	observed_otus
C03	574.2417	8146.0
C07	549.60072	7924.0
C17	710.23126	10707.0
C11	517.35857	7217.0
C05	583.26635	8349.0
C08	715.87122	10617.0
C09	494.61137	5011.0
C18	568.95705	8251.0
C15	519.64023	6376.0
C01	576.93365	7749.0
C13	528.45139	5306.0
C12	434.65733	4626.0
C02	570.58674	7351.0
C10	450.47877	4655.0
C04	555.26753	8253.0
C16	534.57662	6815.0
C06	496.81814	6834.0
C14	497.64	5646.0
