	C03	C07	C17	C11	C05	C08	C09	C18	C15	C01	C13	C12	C02	C10	C04	C16	C06	C14
C03	0.0	0.871177772336	1.07314434025	0.762591647165	0.242385005857	0.694326680093	1.66893668629	0.670062903489	2.14335525495	0.401977978785	3.15441259664	2.00931212012	0.506617183894	2.07721688162	0.436285905109	0.961441506324	0.998253694455	2.82704777866
C07	0.871177772336	0.0	1.75041552847	0.574408130654	0.768722654143	1.33065888857	1.04983090131	1.36399520474	1.48607289832	1.03914412421	2.57755487514	1.33251350037	1.14480941193	1.3944709481	0.76776223433	0.451175158411	0.480534878816	2.15381037193
C17	1.07314434025	1.75041552847	0.0	1.57886002274	1.1835203876	0.781331656168	2.43251676798	0.694658102679	2.95488286698	1.05217753773	3.90489081402	2.84308509439	0.961538006012	2.88509202548	1.295817839	1.740946151	1.81578473645	3.61935295368
C11	0.762591647165	0.574408130654	1.57886002274	0.0	0.700241626791	1.17575882402	1.41231995009	1.25208239888	1.83918144268	0.913558671184	2.86005562181	1.68516164075	1.00471371754	1.71346654928	0.598169063863	0.620378588816	0.542433221994	2.49226977249
C05	0.242385005857	0.768722654143	1.1835203876	0.700241626791	0.0	0.788845418972	1.57764539931	0.717472767726	2.06029840953	0.453467100966	3.07907993757	1.9263919466	0.545193272181	1.98843562704	0.352993517695	0.916540326822	0.946960163053	2.74189165137
C08	0.694326680093	1.33065888857	0.781331656168	1.17575882402	0.788845418972	0.0	1.9096603804	0.671732698847	2.47431388265	0.613188191028	3.40881247804	2.37630984271	0.525956336573	2.39328237829	0.923713486822	1.34808127794	1.42255645717	3.15630631134
C09	1.66893668629	1.04983090131	2.43251676798	1.41231995009	1.57764539931	1.9096603804	0.0	2.06257300006	1.54672876748	1.65717729449	2.80041197128	1.30250862467	1.75007917642	0.989049826604	1.63859124754	1.14866164844	1.06731544156	2.22596834963
C18	0.670062903489	1.36399520474	0.694658102679	1.25208239888	0.717472767726	0.671732698847	2.06257300006	0.0	2.58716571246	0.648803865514	3.63313119738	2.48215798991	0.508409903956	2.52873394586	0.912477234829	1.45881062221	1.48069774461	3.28117719087
C15	2.14335525495	1.48607289832	2.95488286698	1.83918144268	2.06029840953	2.47431388265	1.54672876748	2.58716571246	0.0	2.20196137785	1.6167914167	0.535671709595	2.31021138607	0.976710352523	2.06935957844	1.53107212209	1.5027537334	0.829618532866
C01	0.401977978785	1.03914412421	1.05217753773	0.913558671184	0.453467100966	0.613188191028	1.65717729449	0.648803865514	2.20196137785	0.0	3.24731547143	2.10865309754	0.349956218879	2.14505554545	0.617226564019	1.1412591453	1.17799883642	2.88527643352
C13	3.15441259664	2.57755487514	3.90489081402	2.86005562181	3.07907993757	3.40881247804	2.80041197128	3.63313119738	1.6167914167	3.24731547143	0.0	2.01018285103	3.35015644421	2.38977253047	3.08007959109	2.53147255262	2.56319741688	0.922989310312
C12	2.00931212012	1.33251350037	2.84308509439	1.68516164075	1.9263919466	2.37630984271	1.30250862467	2.48215798991	0.535671709595	2.10865309754	2.01018285103	0.0	2.21301270502	0.599933065545	1.90815982542	1.37223604782	1.36382309209	1.19685315654
C02	0.506617183894	1.14480941193	0.961538006012	1.00471371754	0.545193272181	0.525956336573	1.75007917642	0.508409903956	2.31021138607	0.349956218879	3.35015644421	2.21301270502	0.0	2.24317028931	0.766664303271	1.24827720586	1.22275049312	2.99607241601
C10	2.07721688162	1.3944709481	2.88509202548	1.71346654928	1.98843562704	2.39328237829	0.989049826604	2.52873394586	0.976710352523	2.14505554545	2.38977253047	0.599933065545	2.24317028931	0.0	1.98375066118	1.44126873025	1.42281002791	1.59957638981
C04	0.436285905109	0.76776223433	1.295817839	0.598169063863	0.352993517695	0.923713486822	1.63859124754	0.912477234829	2.06935957844	0.617226564019	3.08007959109	1.90815982542	0.766664303271	1.98375066118	0.0	0.833256712679	0.882289817757	2.7330395614
C16	0.961441506324	0.451175158411	1.740946151	0.620378588816	0.916540326822	1.34808127794	1.14866164844	1.45881062221	1.53107212209	1.1412591453	2.53147255262	1.37223604782	1.24827720586	1.44126873025	0.833256712679	0.0	0.508768260093	2.18180059477
C06	0.998253694455	0.480534878816	1.81578473645	0.542433221994	0.946960163053	1.42255645717	1.06731544156	1.48069774461	1.5027537334	1.17799883642	2.56319741688	1.36382309209	1.22275049312	1.42281002791	0.882289817757	0.508768260093	0.0	2.19997638832
C14	2.82704777866	2.15381037193	3.61935295368	2.49226977249	2.74189165137	3.15630631134	2.22596834963	3.28117719087	0.829618532866	2.88527643352	0.922989310312	1.19685315654	2.99607241601	1.59957638981	2.7330395614	2.18180059477	2.19997638832	0.0
