	C12D01	C16D02	C13D09	C09D05	C18D04	C02D02	C12D02	C05D01	C06D03	C04D02	Mock	C18D06	C14D01	C15D02	C13D07	C02D01	C10D03	C10D01	C03D02	C14D03	C14D02	C08D03	C09D06	C09D04	C15D01	C16D03	C05D02	C16D01	C02D03	C07D02	C07D03	C06D01	C04D03	C08D02	C11D01	C10D02	C12D03	C11D03	C04D01	C18D05	C11D02	C07D01	C01D03	C17D02	C13D08	C17D01	C15D03	C01D01	C01D02	C05D03	C06D02	C17D03	C08D01	C03D01	C03D03
C12D01	0.0	1.37521565849	2.26996351226	1.50812855604	2.59942479792	2.14511637	0.194664039057	2.05216885302	1.40643290547	1.93760561887	3.7535203166	2.57831337962	1.06672275094	0.623084120755	0.942391136038	2.24866904755	0.378571261321	0.538935632075	1.9946135283	1.08278316113	1.18712715453	2.35438540019	1.26159949151	1.38267951943	0.434937394906	1.2002463283	1.94943116868	1.49595068887	2.25884707019	1.26860590962	1.38420359453	1.46144186566	1.98619700189	2.41301902245	1.73781755604	0.893683833774	0.459873919245	1.65975367868	1.93732321453	2.37911725434	1.53807860604	1.41553678377	2.13063990717	2.82117675264	2.43681481321	2.92904589434	0.332058028302	2.21859525132	2.07330226302	1.89333895415	1.35440195547	2.89811529528	2.46648648321	2.10992234208	1.97386153434
C16D02	1.37521565849	0.0	2.86981529075	1.20777251075	1.55483944472	1.20542576057	1.32697386736	1.06112847189	0.489022249623	0.834144026792	3.16225429208	1.52432697472	2.25169837774	1.68146504792	1.52524375604	1.33998427736	1.59162817528	1.60938965849	0.95333476717	2.0013611917	2.25561932472	1.33318898736	1.18997354736	1.04291603226	1.54334226585	0.254423944151	0.955614897358	0.198339248868	1.24556570642	0.52939258283	0.494413538302	0.466972296604	0.88056096717	1.39441299453	0.678862701698	1.37397626358	1.35400665283	0.569752079057	0.857026719434	1.43003359057	0.431843863774	0.519209996226	1.15864915358	1.7257638734	3.02674982453	1.82498034981	1.36004358	1.25783059094	1.11835987434	0.84291861717	0.568377198868	1.77035686623	1.42019170321	1.08121843528	0.905860627925
C13D09	2.26996351226	2.86981529075	0.0	3.32471138755	4.12560907434	3.6753373634	2.19321598	3.60273480377	2.90649383962	3.42412920623	5.34102946208	4.10469609226	1.30675036623	1.82803444472	1.75042627623	3.77852041717	2.46931437358	2.61226347415	3.53169101226	1.32474130358	1.20508497509	3.75903621585	3.06811146981	3.1939841434	1.97485914755	2.68845445943	3.48946373075	3.00024717094	3.74222099415	2.81362432792	2.96838062792	2.96738724396	3.47294669491	3.82324836415	3.23558384792	2.96720071283	2.6490296866	3.14902401472	3.4287623917	3.92700738811	3.02608839981	3.00868153566	3.64515578887	4.24096466302	0.215146059811	4.3282834817	2.18067850321	3.73896041679	3.6070117734	3.4085555034	2.84488077679	4.30457490943	3.86106070151	3.64175200453	3.49136877038
C09D05	1.50812855604	1.20777251075	3.32471138755	0.0	2.24414908943	1.73373686943	1.58350255849	1.74641891358	1.12918906528	1.70170086698	3.2519184783	2.23792831302	2.34888828321	1.87342862698	1.89177744981	1.81441180132	1.36841509509	1.2674493134	1.69856880321	2.30848148585	2.47587970075	1.92118104189	0.357064423019	0.28065330566	1.73274311547	1.28607779943	1.63477336019	1.30310879132	1.86862999038	1.11071344075	1.12542111132	1.17574480962	1.74158139113	1.98125246679	1.48765584302	0.904624041509	1.18163204132	1.41556901547	1.69100424453	1.97214997717	1.30633763453	1.16950174698	1.7333362734	2.44553573396	3.49303921943	2.54272010132	1.50163264849	1.81042153981	1.68013527038	1.62535450604	1.17750563	2.53453767208	2.0452785034	1.81640577547	1.70448150132
C18D04	2.59942479792	1.55483944472	4.12560907434	2.24414908943	0.0	0.744530551321	2.54839964679	0.734959312453	1.52000417321	0.993466432264	2.13705425943	0.106424203208	3.45004748811	2.85363976547	2.58561333547	0.705345982075	2.78165373019	2.80158299075	0.794859245094	3.19493194283	3.47166743094	0.83287398717	2.21103292151	2.02627389774	2.71556354717	1.71324789943	0.829255339057	1.40259686566	0.625919329245	1.54248937509	1.43658124151	1.47074849075	0.938174260566	0.764251098868	1.27255087623	2.53339201547	2.5397554017	1.33459666717	0.959781993962	0.495312714906	1.47123166019	1.4191765417	0.787115872264	0.583056144151	4.28421522811	0.678859948491	2.46261641604	0.743099420189	0.857000853396	0.914757221887	1.59464874283	0.662233937358	0.735104922642	0.707979659245	0.842776191132
C02D02	2.14511637	1.20542576057	3.6753373634	1.73373686943	0.744530551321	0.0	2.09085581321	0.339644763774	1.14770277623	0.709635783208	2.46154515717	0.735014330755	2.97002025038	2.38597992925	2.00747022679	0.248754451887	2.32285690302	2.34688121415	0.445022646981	2.71645326057	3.00387151887	0.579684303774	1.70264552528	1.49519431774	2.26081081887	1.36269454962	0.417062583962	1.05250798868	0.29548779	1.15753451925	1.04208433132	1.08644492623	0.655282031132	0.623606849057	0.910019021887	2.06780581962	2.08243443717	0.969250635472	0.669770659623	0.434614113774	1.10905881528	1.01195581415	0.268221599434	0.990887837736	3.83706522849	1.10230435075	1.97806535755	0.286929159811	0.319947862075	0.587559406415	1.20593987528	1.09119128868	0.681034163019	0.327005414717	0.519862270755
C12D02	0.194664039057	1.32697386736	2.19321598	1.58350255849	2.54839964679	2.09085581321	0.0	2.00715323774	1.2966816917	1.86135164019	3.78457618472	2.52591638811	1.18889169528	0.553723287736	0.921274169057	2.19861873755	0.527930825283	0.653117041321	1.94750448208	1.04264933642	1.17881606377	2.31368742528	1.33180111321	1.47046268151	0.445205853962	1.15219971415	1.90574642887	1.44814825811	2.19680719189	1.21270014642	1.32513084302	1.35957600094	1.90541720321	2.37820052981	1.65603937509	1.04014916491	0.552030806981	1.57714609434	1.85652313585	2.35147356019	1.45754452774	1.36080210283	2.09323162245	2.77457581321	2.35541083038	2.86760650962	0.344984684717	2.17883275377	2.04023652358	1.83858591962	1.24247957302	2.83742750302	2.42009919585	2.06865676226	1.91849304434
C05D01	2.05216885302	1.06112847189	3.60273480377	1.74641891358	0.734959312453	0.339644763774	2.00715323774	0.0	1.04075614377	0.510403084717	2.52620168321	0.707268571509	2.9164064583	2.33013222623	2.02343353472	0.491087344717	2.24623205245	2.26491990585	0.288499305094	2.66323202623	2.94827743057	0.65130649283	1.71935050226	1.51631482151	2.19090780453	1.22813159943	0.210022768491	0.923538904151	0.449787553019	0.975419187925	0.857687873962	0.985138910377	0.463019907358	0.697917520377	0.775659159245	2.00118280264	2.01161795151	0.826492802642	0.478554212075	0.569956140943	0.96511323717	0.82935409	0.331829917547	1.03943671623	3.76477566547	1.15215850245	1.9365243817	0.431739048491	0.390089895283	0.313887843396	1.10833723566	1.13238195396	0.746248243396	0.247191597358	0.338726777547
C06D03	1.40643290547	0.489022249623	2.90649383962	1.12918906528	1.52000417321	1.14770277623	1.2966816917	1.04075614377	0.0	0.846234379811	3.18036856283	1.49650340547	2.27432112057	1.63239042547	1.50199181698	1.26971056811	1.61892988151	1.62005670547	0.941796314906	2.02761792283	2.26193634755	1.36203952717	1.09729449396	0.964810095849	1.52486978038	0.565779408868	0.931429527736	0.581762869811	1.16452710962	0.423429655472	0.480675946415	0.132066037547	0.885981575283	1.4262537683	0.576821125283	1.37988639849	1.3387394866	0.49652813283	0.834465687547	1.41925497038	0.396977243208	0.516121949623	1.14352709906	1.7817534234	3.04860735038	1.84514522434	1.31289499717	1.24785867679	1.12095173981	0.81975358	0.131142125094	1.80721304415	1.44926875736	1.06835663698	0.895055603208
C04D02	1.93760561887	0.834144026792	3.42412920623	1.70170086698	0.993466432264	0.709635783208	1.86135164019	0.510403084717	0.846234379811	0.0	2.77257834717	0.967701632075	2.80678175245	2.20789396642	2.04828019189	0.854179063774	2.14281444208	2.1447299117	0.446322151698	2.56166516113	2.80038994208	0.908126728491	1.66742006585	1.52392504057	2.08758306698	1.00259304491	0.411491529057	0.716024077925	0.734587279245	0.873212808868	0.758669563208	0.804292828302	0.114861826792	0.966830968868	0.571757906981	1.90740228925	1.89404350038	0.618144836415	0.0933293167925	0.915065849057	0.72662901434	0.736359946792	0.627273326415	1.29697400245	3.56778947774	1.3762437566	1.88391687132	0.72055706717	0.605077396981	0.282496970377	0.920639977358	1.31721368472	0.989740264717	0.568900471132	0.369959264151
