	C03	C07	C17	C11	C05	C08	C09	C18	C15	C01	C13	C12	C02	C10	C04	C16	C06	C14
C03	0.0	0.146320818259	0.211620972379	0.138444259861	0.0428855576543	0.13305723003	0.264236467363	0.132979551546	0.312837342681	0.0742317476314	0.404696919772	0.300458993233	0.0906056343219	0.319910636932	0.0787069402745	0.165285646957	0.164664042302	0.375254599637
C07	0.146320818259	0.0	0.313252186761	0.0772436220912	0.128722450021	0.23184054225	0.152171440847	0.244647774624	0.200802464015	0.175811825454	0.30855626997	0.18311157927	0.192038648997	0.202289948472	0.126577762847	0.0718001946846	0.0694340344544	0.265994091449
C17	0.211620972379	0.313252186761	0.0	0.299709217029	0.229769947077	0.162882716801	0.409831518518	0.146724991751	0.456412514894	0.209480983804	0.52643557622	0.45164798518	0.200434058305	0.467233757481	0.250647591061	0.316949432433	0.325930701792	0.506247116036
C11	0.138444259861	0.0772436220912	0.299709217029	0.0	0.127163800921	0.219029359514	0.199465829449	0.238831476987	0.243004691949	0.166728926889	0.339258682918	0.226062773249	0.183920476075	0.245398451276	0.10754998412	0.0886535274245	0.0764068766568	0.304335019721
C05	0.0428855576543	0.128722450021	0.229769947077	0.127163800921	0.0	0.148514719837	0.248267227519	0.139934313398	0.299085869916	0.0817950601114	0.393000567728	0.28631116652	0.0949877543128	0.304857598839	0.0640936663383	0.157070218289	0.155134515938	0.362059362177
C08	0.13305723003	0.23184054225	0.162882716801	0.219029359514	0.148514719837	0.0	0.313191668757	0.140104117123	0.373669403181	0.118176907297	0.4501943817	0.368108885498	0.107047910686	0.380330787909	0.173430460784	0.239745918277	0.248524081237	0.431984219407
C09	0.264236467363	0.152171440847	0.409831518518	0.199465829449	0.248267227519	0.313191668757	0.0	0.347961261068	0.202449350064	0.264273449043	0.324348539769	0.171554169142	0.279062704188	0.136840163756	0.254966885365	0.164340522751	0.154645265334	0.265393759452
C18	0.132979551546	0.244647774624	0.146724991751	0.238831476987	0.139934313398	0.140104117123	0.347961261068	0.0	0.399859646385	0.129348116683	0.49040787367	0.394208537627	0.106885588245	0.409822180025	0.177277878585	0.265945671988	0.264446831186	0.459151812325
C15	0.312837342681	0.200802464015	0.456412514894	0.243004691949	0.299085869916	0.373669403181	0.202449350064	0.399859646385	0.0	0.323581403532	0.173828593199	0.0702236577411	0.340759578266	0.113933534083	0.297527950259	0.204281527262	0.20301295141	0.0912316045669
C01	0.0742317476314	0.175811825454	0.209480983804	0.166728926889	0.0817950601114	0.118176907297	0.264273449043	0.129348116683	0.323581403532	0.0	0.419059057379	0.317763077609	0.0603648835376	0.332490966853	0.111913722832	0.197021546846	0.198338560516	0.385251491023
C13	0.404696919772	0.30855626997	0.52643557622	0.339258682918	0.393000567728	0.4501943817	0.324348539769	0.49040787367	0.173828593199	0.419059057379	0.0	0.225666496094	0.434646677793	0.255504516223	0.389645795231	0.300590433463	0.307386990246	0.0942276645301
C12	0.300458993233	0.18311157927	0.45164798518	0.226062773249	0.28631116652	0.368108885498	0.171554169142	0.394208537627	0.0702236577411	0.317763077609	0.225666496094	0.0	0.334187631447	0.0640305675506	0.280651285784	0.185721411328	0.186855728675	0.138619561705
C02	0.0906056343219	0.192038648997	0.200434058305	0.183920476075	0.0949877543128	0.107047910686	0.279062704188	0.106885588245	0.340759578266	0.0603648835376	0.434646677793	0.334187631447	0.0	0.349900756736	0.136334224066	0.216107009255	0.207154539767	0.402144597216
C10	0.319910636932	0.202289948472	0.467233757481	0.245398451276	0.304857598839	0.380330787909	0.136840163756	0.409822180025	0.113933534083	0.332490966853	0.255504516223	0.0640305675506	0.349900756736	0.0	0.301367384341	0.206302345012	0.211812532841	0.172762937328
C04	0.0787069402745	0.126577762847	0.250647591061	0.10754998412	0.0640936663383	0.173430460784	0.254966885365	0.177277878585	0.297527950259	0.111913722832	0.389645795231	0.280651285784	0.136334224066	0.301367384341	0.0	0.141013322208	0.141858480784	0.357845532031
C16	0.165285646957	0.0718001946846	0.316949432433	0.0886535274245	0.157070218289	0.239745918277	0.164340522751	0.265945671988	0.204281527262	0.197021546846	0.300590433463	0.185721411328	0.216107009255	0.206302345012	0.141013322208	0.0	0.0726895492222	0.267045161872
C06	0.164664042302	0.0694340344544	0.325930701792	0.0764068766568	0.155134515938	0.248524081237	0.154645265334	0.264446831186	0.20301295141	0.198338560516	0.307386990246	0.186855728675	0.207154539767	0.211812532841	0.141858480784	0.0726895492222	0.0	0.272514557108
C14	0.375254599637	0.265994091449	0.506247116036	0.304335019721	0.362059362177	0.431984219407	0.265393759452	0.459151812325	0.0912316045669	0.385251491023	0.0942276645301	0.138619561705	0.402144597216	0.172762937328	0.357845532031	0.267045161872	0.272514557108	0.0
