	PD_whole_tree	observed_otus
C03	571.14272	8116.0
C07	546.53218	7909.0
C17	705.07298	10653.0
C11	511.42651	7193.0
C05	579.00466	8265.0
C08	708.42556	10552.0
C09	494.35636	4997.0
C18	568.28311	8238.0
C15	519.46857	6321.0
C01	573.58197	7750.0
C13	524.04763	5315.0
C12	422.46729	4556.0
C02	566.36093	7325.0
C10	452.14461	4666.0
C04	556.76769	8235.0
C16	533.47487	6766.0
C06	502.78068	6876.0
C14	495.47139	5604.0
