	C03	C07	C17	C11	C05	C08	C09	C18	C15	C01	C13	C12	C02	C10	C04	C16	C06	C14
C03	0.0	0.875756929003	1.07158592903	0.805848132274	0.23589649729	0.693154790343	1.66594973657	0.67405645567	2.14930585249	0.400908637352	3.15311839586	1.99957555872	0.479910005701	2.16640046483	0.436829708255	0.985662384891	0.97591186648	2.82252080888
C07	0.875756929003	0.0	1.75582870589	0.491439146636	0.777748902181	1.33329291978	1.04179989897	1.37255460206	1.48831144044	1.04471377259	2.57112674343	1.31776727296	1.12114985346	1.47941698966	0.771052880312	0.467049070093	0.449109135919	2.14472948617
C17	1.07158592903	1.75582870589	0.0	1.63063319209	1.17655574308	0.786629929346	2.42814736393	0.687971456293	2.96227197785	1.05175111255	3.90156408539	2.83411216788	0.985467602336	2.9864971776	1.29586196128	1.76964421567	1.8078273124	3.61541053829
C11	0.805848132274	0.491439146636	1.63063319209	0.0	0.747420288131	1.22359924255	1.33278721414	1.30064915928	1.76114634701	0.963323769813	2.77117410134	1.58969228782	1.04351038402	1.7543305267	0.637458687383	0.562098944517	0.481645909097	2.40382947006
C05	0.23589649729	0.777748902181	1.17655574308	0.747420288131	0.0	0.782126960343	1.57938824109	0.717268399065	2.07183956399	0.446408665919	3.0843414734	1.92170549969	0.508523422181	2.08180250069	0.359370387664	0.945604388536	0.928257059221	2.74386440262
C08	0.693154790343	1.33329291978	0.786629929346	1.22359924255	0.782126960343	0.0	1.9012268904	0.677346600218	2.47970145798	0.610560061028	3.40213230477	2.36355033685	0.541920638224	2.48645593417	0.921921679346	1.37353054819	1.41470004642	3.14801460844
C09	1.66594973657	1.04179989897	2.42814736393	1.33278721414	1.57938824109	1.9012268904	0.0	2.06338050944	1.56521764688	1.65483066252	2.80637695361	1.28942021629	1.71839334452	1.04449194358	1.63462332651	1.12153024794	1.04968972031	2.22470484414
C18	0.67405645567	1.37255460206	0.687971456293	1.30064915928	0.717268399065	0.677346600218	2.06338050944	0.0	2.59729161882	0.650092844673	3.63708750424	2.47571467763	0.526073395576	2.62164830075	0.91745284972	1.48624634131	1.46816405181	3.28144849981
C15	2.14930585249	1.48831144044	2.96227197785	1.76114634701	2.07183956399	2.47970145798	1.56521764688	2.59729161882	0.0	2.20922155103	1.60234212548	0.567526885421	2.2910376547	0.934087247227	2.07576738037	1.50964516087	1.492819191	0.816363271838
C01	0.400908637352	1.04471377259	1.05175111255	0.963323769813	0.446408665919	0.610560061028	1.65483066252	0.650092844673	2.20922155103	0.0	3.24701696829	2.10108549065	0.317141049408	2.23731049383	0.61632255271	1.16645252255	1.16697020988	2.88116456629
C13	3.15311839586	2.57112674343	3.90156408539	2.77117410134	3.0843414734	3.40213230477	2.80637695361	3.63708750424	1.60234212548	3.24701696829	0.0	2.03159668748	3.32255729576	2.33006672293	3.07728993389	2.49819771514	2.54340169069	0.929951350903
C12	1.99957555872	1.31776727296	2.83411216788	1.58969228782	1.92170549969	2.36355033685	1.28942021629	2.47571467763	0.567526885421	2.10108549065	2.03159668748	0.0	2.1749042448	0.511171091402	1.89760162106	1.33250106368	1.3337813366	1.21055885009
C02	0.479910005701	1.12114985346	0.985467602336	1.04351038402	0.508523422181	0.541920638224	1.71839334452	0.526073395576	2.2910376547	0.317141049408	3.32255729576	2.1749042448	0.0	2.3180421785	0.736619568598	1.25695426723	1.19728038676	2.96564712798
C10	2.16640046483	1.47941698966	2.9864971776	1.7543305267	2.08180250069	2.48645593417	1.04449194358	2.62164830075	0.934087247227	2.23731049383	2.33006672293	0.511171091402	2.3180421785	0.0	2.0728784795	1.50426453533	1.53666822782	1.52891417745
C04	0.436829708255	0.771052880312	1.29586196128	0.637458687383	0.359370387664	0.921921679346	1.63462332651	0.91745284972	2.07576738037	0.61632255271	3.07728993389	1.89760162106	0.736619568598	2.0728784795	0.0	0.855914107788	0.855837381526	2.72963397159
C16	0.985662384891	0.467049070093	1.76964421567	0.562098944517	0.945604388536	1.37353054819	1.12153024794	1.48624634131	1.50964516087	1.16645252255	2.49819771514	1.33250106368	1.25695426723	1.50426453533	0.855914107788	0.0	0.468581943084	2.14738389794
C06	0.97591186648	0.449109135919	1.8078273124	0.481645909097	0.928257059221	1.41470004642	1.04968972031	1.46816405181	1.492819191	1.16697020988	2.54340169069	1.3337813366	1.19728038676	1.53666822782	0.855837381526	0.468581943084	0.0	2.18136273935
C14	2.82252080888	2.14472948617	3.61541053829	2.40382947006	2.74386440262	3.14801460844	2.22470484414	3.28144849981	0.816363271838	2.88116456629	0.929951350903	1.21055885009	2.96564712798	1.52891417745	2.72963397159	2.14738389794	2.18136273935	0.0
